p_val_adj,cluster,gene,
1.74E-14,34,tns2b,
2.00E-14,34,myoz2a,
2.31E-14,34,hspb8,
5.71E-14,34,trim63a,
1.06E-13,34,CABZ01072309.1,
5.47E-13,34,nr5a2,
1.16E-12,34,dusp27,
1.26E-12,34,ank1a,
1.38E-12,34,klhl31,
1.54E-12,34,mlf1,
4.98E-12,34,pbxip1b,
6.44E-12,34,dmd,
8.59E-12,34,pvalb2,
9.24E-12,34,pth1a,
1.09E-11,34,phactr3b,
5.91E-11,34,igfn1.1,
6.51E-11,34,actn3a,
4.53E-10,34,zgc:158296,
6.47E-10,34,fxyd1,
9.07E-10,34,tnnt3b,
1.20E-09,34,tspan9a,
1.48E-09,34,eno1a,
1.67E-09,34,bhlhe40,
1.74E-09,34,atp1b1a,
2.51E-09,34,smtnl1,
6.91E-09,34,LOC108179656,
7.44E-09,34,CABZ01072245.1,
1.11E-08,34,cox6b1,
1.26E-08,34,nexn,
1.58E-08,34,myom1a,
1.64E-08,34,xirp2b,
2.15E-08,34,slc6a8,
2.73E-08,34,mef2cb,
5.05E-08,34,klhl40a,
6.69E-08,34,si:ch211-199i15.5,
8.26E-08,34,hhatla,
1.24E-07,34,XLOC-025819,
2.11E-07,34,vgll2b,
2.35E-07,34,prp,
2.44E-07,34,prr33,
3.13E-07,34,rgs6,
3.31E-07,34,txlnbb,
3.37E-07,34,fgf13a,
8.65E-07,34,dhrs7ca,
1.07E-06,34,CU659670.1,
1.29E-06,34,tmod4,
1.38E-06,34,chrnd,
1.60E-06,34,slc43a1b,
1.92E-06,34,atp5if1b,
2.54E-06,34,ppdpfa,
3.79E-06,34,LO018250.1,
5.83E-06,34,ndufa4,
6.04E-06,34,lgals2a,
9.82E-06,34,myot,
1.11E-05,34,si:dkeyp-69b9.3,
1.34E-05,34,smyd1b,
1.84E-05,34,XLOC-001975,
2.24E-05,34,shisa2b,
2.86E-05,34,RAMP1,
3.06E-05,34,si:dkey-74k8.3,
3.48E-05,34,sfrp2,
3.55E-05,34,rtn2a,
3.65E-05,34,xirp2a,
5.18E-05,34,myom2a,
7.29E-05,34,smyhc3,
7.37E-05,34,hsp90aa1.1,
8.42E-05,34,CU681836.1,
0.000100273290850435,34,mef2ca,
0.000100916669467283,34,sgcd,
0.000111506130226457,34,myl7,
0.000128013769243214,34,chrne,
0.000187504168699198,34,mdh1ab,
0.000203913617100336,34,tcap,
0.000261227517526271,34,mybpc2b,
0.000343745541610326,34,cyr61,
0.000415449132136048,34,sgca,
0.000758416600514659,34,myl1,
0.00106345464354197,34,cavin4b,
0.00120516787045182,34,ntd5,
0.00121613161533089,34,tuba8l2,
0.00133650140852228,34,tgm2a,
0.00137276451983515,34,en1b,
0.00139873505485215,34,myom1b,
0.00142435866039148,34,atp1a2a,
0.00157184244807518,34,sh3bgr,
0.00163954467872445,34,hsd17b12a,
0.00228438252398768,34,rnf41l,
0.00245137704298964,34,trdn,
0.00374409456006423,34,si:ch211-156j16.1,
0.00519805076729698,34,si:dkey-16p21.8,
0.00580923232175324,34,homer2,
0.0060365637905621,34,synpo2la,
0.00713984301742882,34,si:ch211-131k2.3,
0.00758033867958938,34,plecb,
0.0100014937598856,34,CR376766.2,
0.0100709633889449,34,trim55a,
0.0108784357799434,34,mustn1b,
0.0268433942025008,34,XLOC-006515,
0.0287998215810678,34,si:ch211-266g18.10,
0.0335501594484117,34,CU929145.2,
0.0496287162090842,34,pvalb1,
0.053303284263917,34,LOC570526,
0.057390736783523,34,casz1,
0.0614839683932565,34,myoz1b,
0.109693025138664,34,ggctb,
0.14498347912977,34,tgfbi,
0.154401701586359,34,casq1b,
0.157505966961062,34,mllt11,
0.207257653053293,34,bves,
0.20923906315778,34,myca,
0.215025766999945,34,six1b,
0.258994116228911,34,camk2d1,
0.275301209835762,34,ehbp1l1b,
0.377718145050825,34,spegb,
0.405760065662975,34,cyp4t8,
0.428248308889356,34,unc45b,
0.511562834430393,34,c13h10orf71,
0.898581520018299,34,rtn2b,
1,34,klhl40b,
1,34,lims2,
1,34,si:dkey-184p18.2,
1,34,calm3a,
1,34,obsl1b,
1,34,pdlim5b,
1,34,BX276101.1,
1,34,cdh15,
1,34,vasna,
1,34,eef2l2,
1,34,camk2n1a,
1,34,tmem182a,
1,34,cckb,
1,34,hbegfa,
1,34,parvb,
1,34,en1a,
1,34,synpo2lb,
1,34,tnc,
1,34,trim101,
6.19E-74,35,foxn4,
1.24E-72,35,pax7a,
9.37E-72,35,pax7b,
1.18E-69,35,XLOC-003678,
7.34E-69,35,otx2b,
1.09E-64,35,mab21l2,
4.98E-61,35,mab21l1,
5.74E-54,35,tcf7l2,
1.83E-53,35,myca,
5.99E-46,35,en2b,
5.14E-34,35,en2a,
6.22E-32,35,fabp7a,
5.30E-25,35,BX649434.3,
7.72E-15,35,XLOC-026578,
8.88E-14,35,XLOC-032526,
8.97E-76,36,eomesa,
3.06E-75,36,tbr1b,
3.43E-74,36,adcyap1b,
5.71E-72,36,stmn1b,
1.28E-71,36,nrn1a,
1.17E-70,36,elavl3,
6.67E-70,36,vamp2,
9.20E-70,36,lhx9,
1.03E-69,36,myt1a,
8.55E-69,36,slc17a6a,
9.90E-69,36,dscaml1,
6.51E-68,36,kcnip1b,
3.31E-66,36,lhx5,
1.96E-64,36,ribc1,
6.03E-64,36,foxg1a,
8.93E-64,36,etv1,
1.18E-62,36,neurod6a,
4.04E-62,36,ptprsb,
2.28E-60,36,tbr1a,
4.26E-59,36,scrt2,
1.90E-57,36,sox4a,
3.90E-57,36,si:dkey-90l8.3,
5.23E-57,36,emx3,
6.32E-56,36,lhx2b,
9.54E-56,36,neurod1,
1.50E-55,36,nhlh2,
4.74E-55,36,bcl11ba,
2.53E-54,36,slc7a8a,
3.12E-54,36,scrt1b,
5.33E-52,36,CU467822.1,
7.35E-52,36,emx1,
9.85E-52,36,nfasca,
5.44E-51,36,ckbb,
1.17E-50,36,tuba2,
7.57E-50,36,cntn2,
4.14E-49,36,neurod6b,
7.18E-49,36,gpm6ab,
7.67E-49,36,atp2b3a,
4.38E-48,36,islr2,
6.16E-47,36,cdk5r1b,
7.18E-46,36,mllt11,
1.37E-45,36,emx2,
5.49E-45,36,aplp1,
3.34E-44,36,nfia,
4.20E-43,36,atp1a3a,
6.24E-43,36,atp6v0cb,
7.56E-43,36,tmsb,
1.54E-42,36,ndrg4,
5.92E-42,36,nrxn1a,
4.21E-41,36,sprn2,
7.51E-41,36,l1camb,
1.62E-40,36,pdzrn4,
2.70E-40,36,zgc:65894,
1.74E-39,36,barhl2,
2.74E-39,36,si:dkey-280e21.3,
3.18E-39,36,ebf3a,
4.75E-39,36,olfm1a,
1.52E-38,36,syt2a,
3.07E-38,36,sncb,
2.15E-37,36,sypa,
9.13E-37,36,myt1b,
1.41E-36,36,LOC100537384,
2.01E-35,36,bcl11aa,
2.43E-35,36,stx1b,
3.19E-35,36,sv2a,
4.19E-35,36,vsnl1a,
4.53E-35,36,elavl4,
6.73E-35,36,sypb,
8.39E-35,36,gabrb4,
9.02E-35,36,olfm1b,
1.98E-34,36,snap25b,
3.30E-34,36,pak1,
1.12E-33,36,insm1b,
1.51E-33,36,pcdh10a,
1.82E-33,36,scg2b,
1.03E-32,36,rab6bb,
1.04E-32,36,nsg2,
1.55E-32,36,dll4,
2.21E-32,36,celf5a,
6.60E-32,36,kctd4,
9.69E-32,36,grin1a,
1.18E-31,36,slc1a2b,
4.03E-31,36,syt4,
1.59E-30,36,insm1a,
1.95E-30,36,myt1la,
2.20E-30,36,chga,
3.60E-30,36,slc35g2b,
5.23E-30,36,syt1a,
1.14E-29,36,phactr3b,
2.83E-29,36,pou2f2a,
5.22E-29,36,rtn1b,
7.54E-29,36,LOC100537342,
1.29E-28,36,lgmn,
1.35E-28,36,syt11a,
1.91E-28,36,rap1gap,
2.07E-28,36,fezf2,
2.33E-28,36,gng3,
2.87E-28,36,tmx2b,
3.87E-28,36,ywhag1,
1.17E-27,36,cplx2l,
1.22E-27,36,cplx2,
1.85E-27,36,tfap2e,
6.05E-27,36,ywhag2,
8.33E-27,36,nfixb,
1.12E-26,36,atp6v1g1,
1.71E-26,36,edil3a,
3.39E-26,36,scrt1a,
1.69E-25,36,stmn2a,
8.51E-25,36,camk2n1a,
1.15E-24,36,atp6v1e1b,
2.17E-24,36,st8sia5,
3.94E-24,36,pcsk1nl,
4.11E-24,36,gap43,
5.46E-24,36,spock1,
9.42E-24,36,bcam,
8.51E-23,36,slc17a6b,
1.36E-22,36,neurod4,
3.03E-22,36,map1aa,
4.54E-22,36,LOC103909284,
6.69E-22,36,atp6v1aa,
1.35E-21,36,snap25a,
1.63E-21,36,khdrbs2,
3.80E-21,36,syt3,
4.58E-21,36,mef2d,
1.21E-20,36,stxbp1a,
2.42E-20,36,fezf1,
3.54E-20,36,ncanb,
3.87E-20,36,stmn4l,
9.45E-20,36,gpc1a,
1.61E-19,36,slc6a1a,
6.49E-19,36,gjd1a,
1.03E-18,36,acbd7,
2.17E-18,36,kcnma1a,
6.73E-18,36,sim1a,
9.77E-18,36,tmsb2,
1.16E-17,36,id4,
1.34E-17,36,stmn2b,
1.63E-17,36,si:ch211-195e19.1,
3.16E-17,36,foxp2,
6.59E-17,36,add2,
1.08E-16,36,ptn,
1.17E-16,36,uncx,
1.41E-16,36,dmrta2,
4.72E-16,36,hpca,
6.92E-16,36,olig4,
5.24E-15,36,plxna4,
1.78E-14,36,l1cama,
1.72E-13,36,hes2.2,
1.79E-13,36,mab21l1,
3.07E-13,36,celf4,
4.13E-13,36,kif1aa,
4.91E-12,36,glipr1b,
4.92E-12,36,dlb,
6.03E-12,36,hapln1a,
1.35E-11,36,astn1,
6.09E-11,36,fgf13a,
8.98E-11,36,im:7152348,
7.91E-10,36,myo5aa,
2.05E-09,36,pbx3b,
2.06E-09,36,map1b,
2.51E-09,36,gria1a,
3.39E-09,36,XLOC-039121,
7.27E-09,36,nrxn3a,
1.58E-08,36,si:dkey-178k16.1,
5.74E-08,36,mafba,
1.63E-07,36,kcnc3a,
2.47E-07,36,calm3a,
3.13E-06,36,sncgb,
3.24E-06,36,nog1,
3.93E-06,36,si:ch211-242b18.1,
0.000114800794313212,36,h1fx,
0.000268209309237993,36,maptb,
0.000282684900827112,36,slc6a6a,
0.00186084067987322,36,spock3,
0.00211474239615087,36,CR848047.1,
0.00248706774947601,36,otpb,
0.00311025948862618,36,ubxn8,
0.00318397005970728,36,LOC798783,
0.00610557714347699,36,ache,
0.00663751694370367,36,cxxc4,
0.00895142915800651,36,cox6b1,
0.00942086689373336,36,vgf,
0.0130720968339443,36,tfap2a,
0.0531979634067102,36,BX927258.1,
0.382436198593703,36,hpcal1,
0.742290719044233,36,cxcr4b,
1,36,eno1a,
1,36,rasd1,
1,36,flrt1b,
1.73E-182,37,KCNJ15,
1.50E-138,37,si:dkey-192d15.2,
1.81E-137,37,si:ch73-359m17.5,
1.46E-126,37,si:ch73-31d8.2,
5.57E-114,37,kcnj1a.2,
1.79E-110,37,drd4-rs,
4.51E-99,37,LOC799574,
4.64E-87,37,sat1a.1,
8.98E-82,37,si:ch211-270g19.5,
2.10E-80,37,si:dkey-33i11.4,
6.90E-78,37,si:dkey-247k7.2,
6.66E-71,37,sstr5,
1.09E-69,37,si:dkeyp-72e1.7,
1.82E-67,37,atp1b1b,
3.08E-63,37,foxi3b,
1.10E-61,37,ndrg1a,
3.65E-61,37,ap1s3b,
7.44E-61,37,cldn23a,
8.21E-60,37,icn,
4.42E-56,37,sgk2a,
1.77E-55,37,cldnh,
6.68E-55,37,kcnj1a.3,
3.05E-54,37,echdc2,
2.24E-53,37,gsto2,
3.18E-53,37,elf3,
1.08E-52,37,epas1a,
1.49E-52,37,mal2,
8.11E-52,37,chmp4c,
1.53E-51,37,soul2,
5.69E-51,37,pkp3a,
2.24E-50,37,etf1a,
3.16E-50,37,si:ch211-79k12.1,
4.07E-49,37,btr12,
7.15E-49,37,rab11al,
9.96E-49,37,si:ch211-195b11.3,
1.05E-48,37,pof1b,
1.61E-47,37,epdl1,
1.65E-47,37,kcnj1a.6,
9.75E-47,37,si:dkey-87o1.2,
1.54E-46,37,atp6v1e1b,
1.68E-46,37,si:rp71-77l1.1,
1.76E-46,37,wu:fb18f06,
7.27E-46,37,selenow2b,
2.61E-45,37,gcm2,
3.96E-45,37,tmprss13a,
4.99E-45,37,cldnf,
5.45E-45,37,rgs4,
6.92E-45,37,si:ch1073-190k2.1,
1.02E-44,37,si:dkeyp-86h10.3,
1.43E-44,37,pkp1b,
1.65E-44,37,spaca4l,
2.38E-44,37,rnaseka,
1.75E-43,37,mvp,
2.12E-43,37,si:dkey-193p11.2,
2.19E-43,37,fabp2,
2.22E-43,37,BX000438.2,
2.74E-43,37,krt4,
9.10E-43,37,znf185,
1.66E-42,37,rbm47,
2.10E-42,37,s100u,
3.58E-42,37,atp6v1c1b,
3.72E-42,37,atp5if1b,
6.66E-42,37,ndufa4,
9.37E-42,37,epcam,
1.09E-41,37,gcnt4a,
3.97E-41,37,agrp,
5.55E-41,37,evplb,
7.58E-41,37,CR786562.1,
1.57E-40,37,CR855311.1,
1.98E-40,37,b3gnt2l,
2.15E-40,37,gdpd4a,
4.59E-40,37,cyt1,
5.72E-40,37,myo18aa,
1.72E-39,37,eno3,
1.78E-39,37,ca2,
2.84E-39,37,fthl28,
3.39E-39,37,bhlhe40,
3.61E-39,37,gadd45ga,
4.09E-39,37,scinla,
4.62E-39,37,pygb,
5.07E-39,37,oclnb,
8.09E-39,37,nqo1,
8.13E-39,37,ppargc1a,
1.26E-38,37,zmp:0000001114,
4.63E-38,37,foxi3a,
1.12E-37,37,eps8l1b,
1.23E-37,37,prr13,
1.46E-37,37,selenow1,
2.03E-37,37,wu:fj05g07,
2.98E-37,37,ngfrb,
4.78E-37,37,si:ch211-202f5.3,
1.07E-36,37,krt18a.1,
3.86E-36,37,ptk2bb,
4.59E-36,37,abca12,
4.86E-36,37,fam167b,
1.39E-35,37,bik,
2.41E-35,37,f11r.1,
3.95E-35,37,prdx5,
4.02E-35,37,si:ch73-359m17.9,
6.13E-35,37,si:ch211-98n17.5,
8.61E-35,37,tmsb1,
8.61E-35,37,gata3,
1.28E-34,37,gsnb,
2.58E-34,37,ppl,
6.13E-34,37,zgc:193505,
9.87E-34,37,arhgef5,
4.56E-33,37,zgc:193726,
6.58E-33,37,oclna,
7.67E-33,37,cebpb,
1.23E-32,37,mavs,
1.59E-32,37,DSG2,
3.34E-32,37,hopx,
4.67E-32,37,tm9sf5,
7.96E-32,37,tpi1b,
8.97E-32,37,mgll,
1.07E-31,37,cdh1,
3.60E-31,37,zgc:110333,
6.44E-31,37,capn2l,
7.57E-31,37,gadd45bb,
3.21E-30,37,tmx2b,
4.10E-30,37,zgc:175088,
5.40E-30,37,cldn7b,
7.32E-30,37,pkma,
8.66E-30,37,icn2,
1.15E-29,37,ndrg3a,
2.26E-29,37,dnase1l4.1,
3.32E-29,37,cldne,
3.85E-29,37,krt8,
2.08E-28,37,mat2al,
2.28E-28,37,ponzr5,
2.94E-28,37,mid1ip1a,
6.87E-28,37,atp6v1g1,
8.44E-28,37,gmds,
9.14E-28,37,ddit3,
1.77E-27,37,s100w,
4.84E-27,37,zgc:194679,
5.00E-27,37,osgn1,
5.37E-27,37,myh9a,
6.49E-27,37,slc4a1b,
7.57E-27,37,anxa4,
8.86E-27,37,tuba8l2,
1.48E-26,37,si:dkey-204f11.64,
2.22E-26,37,mt2,
3.52E-26,37,phlda2,
6.76E-26,37,sost,
7.07E-26,37,mgst1.2,
3.14E-25,37,cst14b.1,
1.52E-24,37,atp6ap1b,
2.32E-24,37,cd9b,
2.36E-24,37,vamp8,
3.27E-24,37,atp1a1a.2,
2.85E-23,37,eppk1,
6.58E-23,37,ceacam1,
6.84E-23,37,papss2b,
1.07E-22,37,cldnb,
1.83E-22,37,lxn,
1.94E-22,37,tmprss2,
2.93E-22,37,gpa33a,
3.61E-22,37,tmem45b,
1.05E-21,37,capn9,
1.55E-21,37,evpla,
4.59E-21,37,ca15a,
4.79E-21,37,tmem30b,
5.05E-21,37,krt97,
8.83E-21,37,abcb5,
1.02E-20,37,scgn,
2.00E-20,37,atp6v1aa,
2.43E-20,37,si:ch73-347e22.8,
3.13E-20,37,cfl1l,
4.05E-20,37,fuca1.1,
1.16E-19,37,zgc:174938,
1.31E-19,37,ahnak,
1.39E-19,37,zgc:171775,
1.92E-19,37,adss,
2.06E-19,37,prdm1a,
2.45E-19,37,elovl1b,
2.83E-19,37,spint2,
3.03E-19,37,rap1gap2a,
3.19E-19,37,si:ch73-335l21.4,
3.54E-19,37,ildr1a,
1.00E-18,37,ywhaz,
1.24E-18,37,tspan35,
2.63E-18,37,arhgdig,
5.00E-18,37,svopl,
5.16E-18,37,fosb,
8.93E-18,37,capn8,
1.89E-17,37,zgc:101744,
3.60E-17,37,anxa1c,
5.75E-17,37,si:ch211-236g6.1,
7.04E-17,37,CR356236.1,
8.42E-17,37,si:ch211-195e19.1,
8.45E-17,37,arg2,
9.35E-17,37,plcd4b,
2.19E-16,37,myb,
6.80E-16,37,cst14a.2,
7.49E-16,37,si:ch211-166a6.5,
1.60E-15,37,ugt8,
3.17E-15,37,scinlb,
4.05E-15,37,sult1st1,
6.33E-15,37,esrrga,
9.53E-15,37,gbgt1l4,
1.19E-14,37,tmem14ca,
1.59E-14,37,dmrt2a,
3.32E-14,37,zgc:153665,
7.58E-13,37,lye,
2.32E-12,37,acy3.2,
1.21E-11,37,malb,
1.51E-11,37,tmem176l.4,
2.22E-11,37,slc31a2,
2.40E-11,37,padi2,
2.62E-11,37,capns1a,
4.83E-11,37,cxcr4a,
7.08E-11,37,zgc:162730,
9.24E-11,37,s100v2,
1.07E-10,37,atp6v0a1a,
2.13E-10,37,alox12,
5.79E-10,37,mboat1,
9.00E-10,37,zgc:153284,
2.09E-09,37,gstm.3,
3.95E-09,37,pleca,
5.68E-09,37,mafba,
9.71E-09,37,lgals3b,
2.64E-08,37,atf3,
3.37E-08,37,ripply3,
3.62E-08,37,bambia,
5.41E-08,37,rnf183,
8.22E-08,37,anxa5b,
8.32E-08,37,atp6v0ca,
8.57E-08,37,st14a,
1.40E-07,37,ppdpfa,
2.88E-06,37,krt91,
9.75E-06,37,ppp1r1b,
1.00E-05,37,slc6a6a,
1.01E-05,37,tmsb2,
1.20E-05,37,sult2st1,
1.98E-05,37,cotl1,
2.53E-05,37,sh3d21,
2.76E-05,37,si:ch211-243g18.2,
4.69E-05,37,kita,
8.90E-05,37,cox17,
0.000265974152531766,37,grhl1,
0.0010701811370533,37,cox6b1,
0.00312304131688624,37,gstp1,
0.00952455601147387,37,hsp90aa1.2,
0.00972210856233223,37,cd63,
0.01193495903095,37,ahcyl1,
0.0138041790141805,37,zgc:92380,
0.0193671670212009,37,otx2b,
0.0248246195413127,37,atp1a1a.4,
0.0346882911221088,37,fthl31,
0.0367670135009949,37,calr3b,
0.0384445986774045,37,scel,
0.0388341125668645,37,actn1,
0.0946323687823583,37,FAM135B,
0.131887242731557,37,id4,
0.285043932648068,37,fermt1,
0.468916779974179,37,wu:fj16a03,
0.51275466731745,37,stard14,
0.981971315179966,37,myom1b,
1,37,si:dkey-16p21.8,
1,37,sh3gl1a,
1,37,tnks1bp1,
1,37,ftr83,
1,37,spint1a,
2.01E-152,38,tmprss13a,
7.82E-148,38,muc5.1,
1.19E-127,38,xkr9,
4.01E-124,38,sb:cb470,
7.94E-120,38,LOC108180223,
7.02E-115,38,rcvrn2,
2.42E-108,38,fmn1,
2.28E-107,38,si:dkey-65b12.6,
5.60E-101,38,cracr2b,
9.35E-101,38,si:dkey-33i11.9,
7.81E-98,38,kcnk1a,
3.94E-95,38,pou2f3,
1.90E-89,38,tmprss9,
2.13E-87,38,stard15,
7.71E-87,38,zgc:123295,
1.65E-86,38,drd5a,
2.88E-85,38,mctp2b,
8.20E-85,38,styk1b,
2.24E-84,38,atp2a3,
5.39E-84,38,timp4.1,
3.23E-83,38,scgn,
1.90E-82,38,foxe3,
2.92E-82,38,si:dkeyp-100a1.6,
6.84E-82,38,cldn8,
1.32E-81,38,ponzr5,
7.32E-81,38,sytl2b,
2.94E-80,38,foxa3,
1.84E-79,38,CABZ01092746.1,
2.53E-79,38,s100z,
2.67E-79,38,lad1,
3.66E-79,38,eps8l1b,
5.52E-79,38,scinlb,
3.40E-78,38,BX000438.2,
5.54E-78,38,itpr3,
8.62E-78,38,zgc:154054,
1.23E-76,38,zgc:174935,
5.05E-76,38,malb,
8.40E-76,38,LO017965.1,
1.55E-75,38,trhra,
9.69E-75,38,si:ch211-202f5.3,
1.80E-74,38,si:dkey-239j18.2,
1.91E-74,38,si:dkey-239j18.3,
2.26E-74,38,ctslb,
2.45E-74,38,si:dkey-269i1.4,
2.68E-74,38,wu:fa26c03,
2.84E-74,38,si:dkey-269i1.3,
2.93E-74,38,si:dkey-26g8.5,
3.09E-74,38,zgc:174153,
4.04E-74,38,ahcyl1,
4.64E-74,38,si:dkey-248g15.3,
4.90E-74,38,fam167b,
5.02E-74,38,zp3.2,
9.05E-74,38,slc31a2,
9.13E-74,38,he1.1,
2.15E-73,38,he1.2,
6.72E-73,38,si:ch211-243g18.2,
2.36E-72,38,stard10,
2.79E-72,38,cldnf,
4.38E-72,38,tpd52,
1.75E-71,38,ptk2bb,
1.79E-71,38,myl9a,
2.72E-71,38,pitx2,
2.84E-71,38,camk1b,
4.11E-71,38,ugt8,
5.12E-71,38,krt97,
6.25E-71,38,icn,
6.64E-71,38,hpca,
7.26E-71,38,camk2d1,
7.40E-71,38,tent5ba,
1.01E-70,38,spint2,
1.09E-70,38,si:ch73-347e22.8,
1.46E-70,38,sh3gl1a,
1.58E-70,38,btr12,
5.15E-70,38,mboat1,
8.64E-70,38,acy3.2,
9.36E-70,38,zgc:92380,
1.10E-69,38,si:ch211-236g6.1,
1.26E-69,38,si:dkeyp-69e1.8,
1.56E-69,38,zp3,
2.78E-69,38,serpinb1,
4.74E-69,38,XLOC-020187,
5.13E-69,38,bmp4,
7.13E-69,38,si:dkey-26g8.4,
7.79E-69,38,klf17,
9.18E-69,38,rbm47,
1.25E-68,38,gpa33a,
1.34E-68,38,igfn1.1,
2.55E-68,38,crip1,
3.50E-68,38,abcb5,
4.58E-68,38,slc4a4a,
2.79E-67,38,hopx,
2.87E-67,38,anxa5b,
4.04E-67,38,si:dkey-87o1.2,
5.04E-67,38,tnks1bp1,
7.40E-67,38,s100u,
8.27E-67,38,fat2,
8.36E-67,38,zgc:101744,
1.84E-66,38,si:ch211-264f5.6,
4.49E-66,38,nupr1b,
5.77E-66,38,tph1b,
8.73E-66,38,cd63,
8.98E-66,38,nqo1,
1.20E-65,38,plk2b,
1.21E-65,38,slc39a10,
1.59E-65,38,mgst1.2,
2.12E-65,38,BX322603.1,
4.61E-65,38,pbxip1b,
7.23E-65,38,si:ch1073-190k2.1,
3.58E-64,38,papss2b,
3.70E-64,38,cldnb,
3.95E-64,38,zgc:194839,
8.56E-64,38,tagln3b,
1.30E-63,38,kita,
1.73E-63,38,hpcal1,
1.24E-62,38,s100v1,
1.87E-62,38,ftr83,
2.05E-62,38,mvp,
2.58E-62,38,si:dkey-204f11.64,
3.49E-62,38,zgc:171775,
4.37E-62,38,fabp2,
6.58E-62,38,selenow1,
6.58E-62,38,prdm1a,
8.64E-62,38,f11r.1,
1.14E-61,38,zgc:110333,
1.55E-61,38,zgc:153284,
2.00E-61,38,fxyd1,
3.82E-61,38,zgc:158403,
4.89E-61,38,capn2b,
4.21E-59,38,fermt1,
1.23E-58,38,fibinb,
1.38E-58,38,gadd45ga,
3.64E-58,38,rap1gap,
6.42E-58,38,agr2,
1.05E-57,38,prr13,
1.17E-57,38,pkma,
1.60E-57,38,atp6v0a1a,
2.84E-57,38,mt2,
1.08E-55,38,mcfd2,
3.67E-55,38,tspo,
5.83E-55,38,tcima,
1.36E-54,38,oclna,
2.96E-54,38,osgn1,
7.42E-54,38,CELA1 (1 of many),
1.20E-53,38,uchl1,
1.40E-53,38,svopl,
4.26E-53,38,dap1b,
1.63E-52,38,cst14a.2,
7.68E-52,38,capns1a,
5.00E-51,38,wu:fb18f06,
2.04E-50,38,epcam,
3.46E-50,38,myh9a,
1.05E-49,38,krt91,
2.76E-49,38,anxa4,
7.03E-49,38,rgs2,
1.68E-48,38,cd9b,
9.29E-48,38,calm3a,
6.43E-47,38,pim2,
1.27E-46,38,cldnh,
1.97E-45,38,krt4,
3.16E-45,38,fuca1.1,
1.17E-44,38,calr3b,
1.37E-44,38,CT573383.1,
1.97E-44,38,dnase1l1,
1.88E-43,38,zgc:175088,
2.53E-42,38,ap1s3b,
4.00E-42,38,krt8,
2.45E-41,38,b3gnt7,
6.09E-41,38,nansb,
6.73E-41,38,tmsb1,
8.19E-41,38,ahnak,
8.73E-41,38,atp6v1c1b,
5.50E-40,38,tuba8l2,
5.67E-39,38,xbp1,
6.57E-39,38,atp6v1aa,
3.17E-37,38,pleca,
4.36E-35,38,pfn1,
2.08E-34,38,tram1,
2.19E-34,38,si:dkey-16p21.8,
1.20E-33,38,atp6v1e1b,
6.08E-31,38,atp6v0ca,
1.98E-28,38,krt18a.1,
4.45E-27,38,fkbp11,
6.40E-27,38,atp5if1b,
5.92E-26,38,si:dkey-19b23.12,
6.71E-18,38,gbgt1l4,
3.59E-16,38,spaca4l,
1.04E-12,38,slc30a8,
2.76E-06,38,cldn7b,
1.16E-05,38,capn8,
0.00339565791813429,38,tcap,
0.00687148143199758,38,gpr160,
0.0104145348139449,38,scin,
0.0124736695348237,38,rps27l,
0.235407373116694,38,s100v2,
0.266579474387534,38,rnf183,
0.378663681205151,38,b3gnt5b,
0.758908375128754,38,arfgap3,
1,38,si:ch211-163l21.8,
3.52E-47,39,duox2,
6.33E-46,39,sft2d2a,
1.71E-44,39,acer1,
8.74E-43,39,si:dkeyp-11e3.1,
3.17E-39,39,si:ch73-78o10.1,
2.36E-37,39,si:ch211-225b10.3,
6.24E-37,39,si:ch211-229n2.7,
8.23E-37,39,rab25a,
8.67E-37,39,gbgt1l4,
1.46E-35,39,dhrs13a.2,
9.87E-35,39,tmem176l.4,
1.45E-34,39,elovl7a,
1.54E-34,39,tmem45b,
3.54E-34,39,stx11b.1,
1.28E-33,39,evplb,
1.30E-33,39,lye,
2.37E-33,39,zgc:153665,
2.62E-33,39,tmem30b,
2.98E-33,39,cldne,
3.37E-33,39,spint2,
3.91E-33,39,duox,
4.29E-33,39,si:ch211-125o16.4,
6.66E-33,39,znf185,
7.28E-33,39,si:ch211-195b11.3,
1.37E-32,39,anxa1c,
1.59E-32,39,cd9b,
1.64E-32,39,dbnla,
2.07E-32,39,zgc:154054,
2.31E-32,39,stard14,
2.34E-32,39,evpla,
2.54E-32,39,gpa33a,
3.09E-32,39,krt92,
3.57E-32,39,eppk1,
3.93E-32,39,mgst1.2,
4.32E-32,39,ckap4,
4.40E-32,39,osbpl7,
6.70E-32,39,cyt1l,
7.24E-32,39,cldn7b,
7.40E-32,39,zgc:193505,
7.47E-32,39,ANXA1 (1 of many),
8.48E-32,39,ppl,
8.99E-32,39,elovl1a,
9.37E-32,39,dhrs11a,
9.68E-32,39,capn9,
9.74E-32,39,krt17,
1.53E-31,39,s100v1,
1.53E-31,39,st14a,
1.98E-31,39,cav1,
2.08E-31,39,krt4,
2.17E-31,39,icn2,
2.31E-31,39,zgc:174938,
3.72E-31,39,si:dkey-87o1.2,
3.84E-31,39,si:ch211-202f5.3,
3.84E-31,39,soul2,
3.90E-31,39,zgc:163030,
4.30E-31,39,btr12,
4.60E-31,39,hsd17b12a,
5.00E-31,39,zgc:194679,
5.19E-31,39,si:dkey-184p9.7,
6.53E-31,39,epcam,
